country,year,gdp
Jordan,2023.0,71293539095.50487
Kazakhstan,2000.0,142758084608.0
Kazakhstan,2023.0,524145390341.1825
Kenya,2000.0,59408908288.0
Kenya,2023.0,120888217965.86304
Kuwait,2000.0,71053967360.0
Kuwait,2023.0,309410424707.16113
Kyrgyzstan,2000.0,15667564544.0
Kyrgyzstan,2023.0,37004346322.75844
Laos,2000.0,12209285120.0
Laos,2023.0,56266160632.07206
Latvia,2000.0,26727290880.0
Latvia,2023.0,38020814217.62608
Lebanon,2000.0,25915975680.0
Lebanon,2023.0,65197624446.79781
Lesotho,2000.0,3769602048.0
Lesotho,2023.0,18623232711.7717
Liberia,2000.0,2767093504.0
Liberia,2023.0,11106725475.570995
Libya,2000.0,49983451136.0
Libya,2023.0,308490258192.46155
Lithuania,2000.0,36684800000.0
Lithuania,2023.0,63948487843.50511
Luxembourg,2000.0,21937467392.0
Luxembourg,2023.0,31173561623.216457
Madagascar,2000.0,19457200128.0
Madagascar,2023.0,54939554461.01356
Malawi,2000.0,11274206208.0
Malawi,2023.0,9098866679.569016
Malaysia,2000.0,305803231232.0
Malaysia,2023.0,1034591416249.5276
Mali,2000.0,12490372096.0
Mali,2023.0,32008808958.691788
Malta,2000.0,7963752448.0
Malta,2023.0,10280507116.592337
Mauritania,2000.0,4838790144.0
Mauritania,2023.0,15591715353.979898
Mauritius,2000.0,16933370880.0
Mauritius,2023.0,24386744267.19979
Mexico,2000.0,1241194692608.0
Mexico,2023.0,1786565662754.4946
Moldova,2000.0,12554043392.0
Moldova,2023.0,31551482991.016804
Mongolia,2000.0,7225650176.0
Mongolia,2023.0,127811890566.27512
Morocco,2000.0,136639291392.0
Morocco,2023.0,222032132428.184
Mozambique,2000.0,20141920256.0
Mozambique,2023.0,52282655353.549644
Myanmar,2000.0,84093542400.0
Myanmar,2023.0,186142815496.55435
Namibia,2000.0,11306497024.0
Namibia,2023.0,21664868815.99525
Nepal,2000.0,39381725184.0
Nepal,2023.0,56005634662.317535
Netherlands,2000.0,603803025408.0
Netherlands,2023.0,861855520796.8208
New Zealand,2000.0,104942108672.0
New Zealand,2023.0,239154265559.81387
Nicaragua,2000.0,13909592064.0
Nicaragua,2023.0,24778601622.189568
Niger,2000.0,7478107648.0
Niger,2023.0,33254519886.39849
Nigeria,2000.0,268133056512.0
Nigeria,2023.0,831326482860.7773
